run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20220622-00:08:41-27205,vector,Network.node[1].app,Delay,,,,"0","0"
General-0-20220622-00:08:41-27205,vector,Network.node[1].app,Hops,,,,"0","0"
General-0-20220622-00:08:41-27205,vector,Network.node[1].lnk[0],Buffer Size,,,,"0 0.002492 0.002492","0 1 0"
General-0-20220622-00:08:41-27205,vector,Network.node[1].lnk[1],Buffer Size,,,,"0 0.003204 0.003204","0 1 0"
General-0-20220622-00:08:41-27205,vector,Network.node[2].app,Delay,,,,"0","0"
General-0-20220622-00:08:41-27205,vector,Network.node[2].app,Hops,,,,"0","0"
General-0-20220622-00:08:41-27205,vector,Network.node[2].lnk[0],Buffer Size,,,,"0 0.002136 0.002136","0 1 0"
General-0-20220622-00:08:41-27205,vector,Network.node[2].lnk[1],Buffer Size,,,,"0 0.00356 0.00356 3.719208424149 3.719208424149 5.293610704113 5.293610704113 9.051538812518 9.051538812518 11.127857413846 11.127857413846 12.278895807612 12.278895807612 16.725944651685 16.725944651685 17.362656933369 17.725944651685 18.329861143266 18.725944651685 19.628753839768 19.725944651685 22.973176240418 22.973176240418 24.28094137486 24.28094137486 25.278685392892 25.28094137486 30.47519356459 30.47519356459 30.516044741388 31.434541015898 31.47519356459 32.47519356459 35.009516342775 35.009516342775 38.02108486005 38.02108486005 38.32354656738 39.02108486005 42.404175083264 42.404175083264 50.094618821548 50.094618821548 51.332477740801 51.332477740801 54.365549688781 54.365549688781 56.408413437479 56.408413437479 58.153055827563 58.153055827563 63.941896783537 63.941896783537 65.225286187599 65.225286187599 68.201795839102 68.201795839102 68.689892820575 69.201795839102 70.370562231799 70.370562231799 70.694835210691 71.370562231799 72.588828565041 72.588828565041 74.507924519777 74.507924519777 79.165751268205 79.165751268205 81.456029177605 81.456029177605 83.355018344598 83.355018344598 85.747233943512 85.747233943512 85.956356395062 86.080586975995 86.747233943512 87.747233943512 93.081014344904 93.081014344904 93.45586647694 93.928279889105 94.081014344904 94.815087946346 95.081014344904 95.573011874911 96.081014344904 97.081014344904 97.445134994454 98.081014344904 98.231360109062 98.309726421888 99.081014344904 99.464375043501 100.081014344904 101.081014344904 101.476117053834 102.081014344904 107.862010337941 107.862010337941 108.077280554253 108.862010337941 110.192933380957 110.192933380957 110.544760471808 111.192933380957 121.264961172294 121.264961172294 121.611216084586 121.845126904171 122.264961172294 123.264961172294 124.091463507238 124.264961172294 124.854575193986 125.264961172294 125.292336387001 126.264961172294 131.266716170705 131.266716170705 131.294045327567 131.498335090617 132.266716170705 133.266716170705 133.44853895893 134.266716170705 137.088176797499 137.088176797499 144.586239716668 144.586239716668 145.85091290946 145.85091290946 147.276080096126 147.276080096126 154.799934665134 154.799934665134 155.464755147061 155.720868677683 155.799934665134 156.611707601523 156.799934665134 157.314059780286 157.799934665134 158.625352349013 158.799934665134 158.878129621864 159.799934665134 160.799934665134 161.211876674961 161.799934665134 161.977278572685 162.799934665134 166.225752966688 166.225752966688 166.358347769652 166.847138665816 167.225752966688 168.225752966688 169.205517719946 169.225752966688 170.877712783887 170.877712783887 171.494542464083 171.877712783887 172.917038338517 172.917038338517 174.398556239411 174.398556239411 179.369720953365 179.369720953365 181.085512235513 181.085512235513 181.736193066571 182.085512235513 182.503313494768 182.522114996096 183.085512235513 184.085512235513 184.723806816278 185.085512235513 188.418462118282 188.418462118282 192.101027061256 192.101027061256 193.115427307769 193.115427307769 194.725022107372 194.725022107372 195.648483899461 195.657896980446 195.725022107372 195.974579992907 196.725022107372 197.725022107372 198.239848276852 198.725022107372 198.869291598561 199.725022107372","0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 0 1 0 1 2 1 2 1 2 1 0 1 0 1 2 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 0 1 0 1 0 1 0 1 0 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 2 1 2 1 2 1 2 1 0 1 0 1 0 1 0 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 2 1 0 1 0 1 0"
General-0-20220622-00:08:41-27205,vector,Network.node[3].app,Delay,,,,"0","0"
General-0-20220622-00:08:41-27205,vector,Network.node[3].app,Hops,,,,"0","0"
General-0-20220622-00:08:41-27205,vector,Network.node[3].lnk[0],Buffer Size,,,,"0 0.00178 0.00178","0 1 0"
General-0-20220622-00:08:41-27205,vector,Network.node[3].lnk[1],Buffer Size,,,,"0 0.003916 0.003916 4.719308424149 4.719308424149 6.293710704113 6.293710704113 10.051638812518 10.051638812518 12.127957413846 12.127957413846 13.278995807612 13.278995807612 17.726044651685 17.726044651685 18.726044651685 18.726044651685 19.726044651685 19.726044651685 20.726044651685 20.726044651685 23.973276240418 23.973276240418 25.28104137486 25.28104137486 26.28104137486 26.28104137486 31.47529356459 31.47529356459 32.47529356459 32.47529356459 33.47529356459 33.47529356459 36.009616342775 36.009616342775 39.02118486005 39.02118486005 40.02118486005 40.02118486005 43.404275083264 43.404275083264 51.094718821548 51.094718821548 52.332577740801 52.332577740801 55.365649688781 55.365649688781 57.408513437479 57.408513437479 59.153155827563 59.153155827563 64.941996783537 64.941996783537 66.225386187599 66.225386187599 69.201895839102 69.201895839102 70.201895839102 70.201895839102 71.370662231799 71.370662231799 72.370662231799 72.370662231799 73.588928565041 73.588928565041 75.508024519777 75.508024519777 80.165851268205 80.165851268205 82.456129177605 82.456129177605 84.355118344598 84.355118344598 86.747333943512 86.747333943512 87.747333943512 87.747333943512 88.747333943512 88.747333943512 94.081114344904 94.081114344904 95.081114344904 95.081114344904 96.081114344904 96.081114344904 97.081114344904 97.081114344904 98.081114344904 98.081114344904 99.081114344904 99.081114344904 100.081114344904 100.081114344904 101.081114344904 101.081114344904 102.081114344904 102.081114344904 103.081114344904 103.081114344904 108.862110337941 108.862110337941 109.862110337941 109.862110337941 111.193033380957 111.193033380957 112.193033380957 112.193033380957 122.265061172294 122.265061172294 123.265061172294 123.265061172294 124.265061172294 124.265061172294 125.265061172294 125.265061172294 126.265061172294 126.265061172294 127.265061172294 127.265061172294 132.266816170705 132.266816170705 133.266816170705 133.266816170705 134.266816170705 134.266816170705 135.266816170705 135.266816170705 138.088276797499 138.088276797499 145.586339716668 145.586339716668 146.85101290946 146.85101290946 148.276180096126 148.276180096126 155.800034665134 155.800034665134 156.800034665134 156.800034665134 157.800034665134 157.800034665134 158.800034665134 158.800034665134 159.800034665134 159.800034665134 160.800034665134 160.800034665134 161.800034665134 161.800034665134 162.800034665134 162.800034665134 163.800034665134 163.800034665134 167.225852966688 167.225852966688 168.225852966688 168.225852966688 169.225852966688 169.225852966688 170.225852966688 170.225852966688 171.877812783887 171.877812783887 172.877812783887 172.877812783887 173.917138338517 173.917138338517 175.398656239411 175.398656239411 180.369820953365 180.369820953365 182.085612235513 182.085612235513 183.085612235513 183.085612235513 184.085612235513 184.085612235513 185.085612235513 185.085612235513 186.085612235513 186.085612235513 189.418562118282 189.418562118282 193.101127061256 193.101127061256 194.115527307769 194.115527307769 195.725122107372 195.725122107372 196.725122107372 196.725122107372 197.725122107372 197.725122107372 198.725122107372 198.725122107372 199.725122107372 199.725122107372","0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0"
General-0-20220622-00:08:41-27205,vector,Network.node[4].app,Delay,,,,"0","0"
General-0-20220622-00:08:41-27205,vector,Network.node[4].app,Hops,,,,"0","0"
General-0-20220622-00:08:41-27205,vector,Network.node[4].lnk[0],Buffer Size,,,,"0 0.001424 0.001424 0.004272 0.004272","0 1 0 1 0"
General-0-20220622-00:08:41-27205,vector,Network.node[4].lnk[1],Buffer Size,,,,"0 5.719408424149 5.719408424149 7.293810704113 7.293810704113 11.051738812518 11.051738812518 13.128057413846 13.128057413846 14.279095807612 14.279095807612 18.726144651685 18.726144651685 19.726144651685 19.726144651685 20.726144651685 20.726144651685 21.726144651685 21.726144651685 24.973376240418 24.973376240418 26.28114137486 26.28114137486 27.28114137486 27.28114137486 32.47539356459 32.47539356459 33.47539356459 33.47539356459 34.47539356459 34.47539356459 37.009716342775 37.009716342775 40.02128486005 40.02128486005 41.02128486005 41.02128486005 44.404375083264 44.404375083264 52.094818821548 52.094818821548 53.332677740801 53.332677740801 56.365749688781 56.365749688781 58.408613437479 58.408613437479 60.153255827563 60.153255827563 65.942096783537 65.942096783537 67.225486187599 67.225486187599 70.201995839102 70.201995839102 71.201995839102 71.201995839102 72.370762231799 72.370762231799 73.370762231799 73.370762231799 74.589028565041 74.589028565041 76.508124519777 76.508124519777 81.165951268205 81.165951268205 83.456229177605 83.456229177605 85.355218344598 85.355218344598 87.747433943512 87.747433943512 88.747433943512 88.747433943512 89.747433943512 89.747433943512 95.081214344904 95.081214344904 96.081214344904 96.081214344904 97.081214344904 97.081214344904 98.081214344904 98.081214344904 99.081214344904 99.081214344904 100.081214344904 100.081214344904 101.081214344904 101.081214344904 102.081214344904 102.081214344904 103.081214344904 103.081214344904 104.081214344904 104.081214344904 109.862210337941 109.862210337941 110.862210337941 110.862210337941 112.193133380957 112.193133380957 113.193133380957 113.193133380957 123.265161172294 123.265161172294 124.265161172294 124.265161172294 125.265161172294 125.265161172294 126.265161172294 126.265161172294 127.265161172294 127.265161172294 128.265161172294 128.265161172294 133.266916170705 133.266916170705 134.266916170705 134.266916170705 135.266916170705 135.266916170705 136.266916170705 136.266916170705 139.088376797499 139.088376797499 146.586439716668 146.586439716668 147.85111290946 147.85111290946 149.276280096126 149.276280096126 156.800134665134 156.800134665134 157.800134665134 157.800134665134 158.800134665134 158.800134665134 159.800134665134 159.800134665134 160.800134665134 160.800134665134 161.800134665134 161.800134665134 162.800134665134 162.800134665134 163.800134665134 163.800134665134 164.800134665134 164.800134665134 168.225952966688 168.225952966688 169.225952966688 169.225952966688 170.225952966688 170.225952966688 171.225952966688 171.225952966688 172.877912783887 172.877912783887 173.877912783887 173.877912783887 174.917238338517 174.917238338517 176.398756239411 176.398756239411 181.369920953365 181.369920953365 183.085712235513 183.085712235513 184.085712235513 184.085712235513 185.085712235513 185.085712235513 186.085712235513 186.085712235513 187.085712235513 187.085712235513 190.418662118282 190.418662118282 194.101227061256 194.101227061256 195.115627307769 195.115627307769 196.725222107372 196.725222107372 197.725222107372 197.725222107372 198.725222107372 198.725222107372 199.725222107372 199.725222107372","0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0"
